,country.value,date,ee,lf,ur
1,United Kingdom,2020,5.53000021,34633193,4.472000122
2,United Kingdom,2019,5.207749844,34701423,3.74000001
3,United Kingdom,2018,5.167990208,34415435,4
4,United Kingdom,2017,5.384990215,34128763,4.329999924
5,United Kingdom,2016,5.375329971,33945098,4.809999943
6,United Kingdom,2015,5.514110088,33619460,5.300000191
7,United Kingdom,2014,5.564509869,33336695,6.110000134
8,United Kingdom,2013,5.500780106,33061439,7.519999981
9,United Kingdom,2012,5.659604073,32778349,7.880000114
10,United Kingdom,2011,5.559599876,32478069,8.039999962
11,United Kingdom,2010,5.66824007,32236186,7.789999962
12,United Kingdom,2009,5.046319962,32084960,7.539999962
13,United Kingdom,2008,4.884970188,31927771,5.619999886
14,United Kingdom,2007,4.908830166,31527354,5.260000229
15,United Kingdom,2006,4.973259926,31317979,5.349999905
16,United Kingdom,2005,4.929180145,30813208,4.75
51,India,2020,4.474229813,463517213,7.997000217
52,India,2019,4.4072299,488759055,5.269999981
53,India,2018,4.363739967,478922986,5.329999924
54,India,2017,4.305449963,476375095,5.357999802
55,India,2016,4.254079819,473321642,5.422999859
56,India,2015,4.114570141,470101297,5.434999943
58,India,2013,3.844670057,463479881,5.423999786
59,India,2012,3.867500067,459896475,5.414000034
60,India,2011,3.79618001,459271453,5.426000118
61,India,2010,3.377690077,458370817,5.546000004
62,India,2009,3.278249979,456466561,5.544000149
65,India,2006,3.142849922,449357551,5.600999832
66,India,2005,3.188750029,446362766,5.612999916
100,South Africa,2021,6.604660034,22397601,33.55899811
101,South Africa,2020,6.192880154,21181686,29.21999931
102,South Africa,2019,5.917709827,22876128,28.46999931
103,South Africa,2018,5.644010067,22556993,26.90999985
104,South Africa,2017,5.598670006,22392953,27.04000092
105,South Africa,2016,5.444240093,22112476,26.54000092
106,South Africa,2015,5.482850075,21878157,25.14999962
107,South Africa,2014,5.489779949,20891740,24.88999939
108,South Africa,2013,5.350719929,20468028,24.55999947
109,South Africa,2012,5.523230076,19973138,24.72999954
110,South Africa,2011,5.288980007,19556367,24.63999939
111,South Africa,2010,5.134970188,19289765,24.68000031
112,South Africa,2009,4.761189938,19599116,23.52000046
113,South Africa,2008,4.374249935,19944181,22.40999985
114,South Africa,2007,4.446670055,19643837,26.54000092
115,South Africa,2006,4.526519775,19340541,28.34000015
116,South Africa,2005,4.524499893,19033160,29.12000084
151,Canada,2020,5.170000076,20487246,9.460000038
152,Canada,2019,4.772930145,20758436,5.659999847
153,Canada,2018,4.888979912,20344109,5.829999924
154,Canada,2017,4.959969997,20144986,6.340000153
155,Canada,2016,4.816420078,19877599,7
156,Canada,2015,4.739379883,19690128,6.909999847
157,Canada,2014,4.843589783,19586757,6.909999847
158,Canada,2013,4.589009762,19522292,7.070000172
159,Canada,2012,4.692587376,19316264,7.289999962
160,Canada,2011,5.262050152,19146806,7.510000229
161,Canada,2010,5.356369972,18985431,8.06000042
162,Canada,2009,4.840579987,18787384,8.340000153
163,Canada,2008,4.62612009,18662574,6.139999866
164,Canada,2007,4.766409874,18382598,6.039999962
166,Canada,2005,4.765880108,17819057,6.760000229
201,Australia,2020,6.099999905,13590200,6.460000038
202,Australia,2019,5.135310173,13590353,5.159999847
203,Australia,2018,5.123449802,13308365,5.300000191
204,Australia,2017,5.136809826,13006679,5.590000153
205,Australia,2016,5.286230087,12728417,5.710000038
206,Australia,2015,5.315839767,12554514,6.050000191
207,Australia,2014,5.164690018,12316359,6.079999924
208,Australia,2013,5.229239941,12176891,5.659999847
209,Australia,2012,4.867879868,12006302,5.21999979
210,Australia,2011,5.069950104,11842238,5.079999924
211,Australia,2010,5.543039799,11661196,5.210000038
212,Australia,2009,5.084519863,11471850,5.559999943
213,Australia,2008,4.632780075,11228764,4.230000019
214,Australia,2007,4.656219959,10937240,4.380000114
215,Australia,2006,4.740650177,10650659,4.78000021
216,Australia,2005,4.898519993,10426942,5.03000021
251,Malaysia,2020,3.916970015,16536931,4.504000187
252,Malaysia,2019,4.156610012,16326127,3.25999999
253,Malaysia,2018,4.478650093,15957341,3.299999952
254,Malaysia,2017,4.675310135,15580100,3.410000086
255,Malaysia,2016,4.751920223,15259318,3.440000057
256,Malaysia,2015,4.894869804,14984846,3.099999905
257,Malaysia,2014,5.212639809,14634933,2.880000114
258,Malaysia,2013,5.481200218,14264784,3.160000086
259,Malaysia,2012,5.739029884,13623989,3.099999905
260,Malaysia,2011,5.76293993,13066875,3.049999952
261,Malaysia,2010,4.966450214,12512860,3.390000105
262,Malaysia,2009,5.974180222,12188514,3.660000086
263,Malaysia,2008,3.958519936,11776886,3.319999933
264,Malaysia,2007,4.372539997,11526422,3.230000019
265,Malaysia,2006,4.485760212,11224135,3.309999943
301,Qatar,2020,3.233669996,2042416,0.214000002
302,Qatar,2019,2.803780079,2117362,0.100000001
304,Qatar,2017,2.967459917,2061199,0.140000001
307,Qatar,2014,3.605350018,1664818,0.200000003
308,Qatar,2013,4.073840141,1519189,0.280000001
309,Qatar,2012,3.50744009,1421301,0.479999989
310,Qatar,2011,4.012239933,1349090,0.560000002
311,Qatar,2010,4.539659977,1287119,0.449999988
312,Qatar,2009,3.413150072,1196223,0.310000002
313,Qatar,2008,4.22755003,1049873,0.310000002
316,Qatar,2005,3.971879959,547326,0.86500001
400,Jamaica,2021,6.027470112,1418424,9.18200016
401,Jamaica,2020,5.617499828,1374141,9.479999542
402,Jamaica,2019,5.163640022,1429844,7.690000057
403,Jamaica,2018,5.413809776,1406395,9.100000381
404,Jamaica,2017,5.260169983,1418463,11.63000011
405,Jamaica,2016,5.314610004,1400576,13.18999958
406,Jamaica,2015,5.455210209,1353993,13.51000023
407,Jamaica,2014,6.015860081,1333074,13.73999977
408,Jamaica,2013,6.251080036,1320357,15.25
409,Jamaica,2012,6.112460136,1278503,13.93000031
410,Jamaica,2011,6.266640186,1268643,12.69999981
411,Jamaica,2010,6.370600224,1251232,12.36999989
412,Jamaica,2009,6.198480129,1255455,11.35999966
413,Jamaica,2008,6.191319942,1271111,10.59000015
414,Jamaica,2007,5.49022007,1249533,9.75
416,Jamaica,2005,4.616419792,1205684,11.26000023
451,Ireland,2020,3.099999905,2432632,5.619999886
452,Ireland,2019,3.294610023,2446760,4.949999809
453,Ireland,2018,3.392869949,2398224,5.739999771
454,Ireland,2017,3.50928998,2354153,6.710000038
455,Ireland,2016,3.742120028,2330010,8.369999886
456,Ireland,2015,3.758769989,2286203,9.909999847
457,Ireland,2014,4.878499985,2258863,11.85999966
458,Ireland,2013,5.342050076,2247873,13.72999954
459,Ireland,2012,5.752689838,2225018,15.44999981
460,Ireland,2011,5.829040051,2231455,15.35000038
461,Ireland,2010,6.05136013,2252263,14.52999973
462,Ireland,2009,6.15610981,2303515,12.60999966
463,Ireland,2008,5.458280087,2355177,6.769999981
464,Ireland,2007,4.715410233,2336447,4.980000019
465,Ireland,2006,4.547420025,2241382,4.409999847
466,Ireland,2005,4.518980026,2151141,4.340000153