State,Per Capita State Spending
Alabama,$6296
Alaska,$16288
Arizona,$5682
Arkansas,$9221
California,$9040
Colorado,$6162
Connecticut,$9452
Delaware,$11985
Florida,$3987
Georgia,$5666
Hawaii,$12490
Idaho,$6336
Illinois,$6086
Indiana,$5549
Iowa,$8168
Kansas,$6612
Kentucky,$8533
Louisiana,$6682
Maine,$7741
Maryland,$7870
Massachusetts,$8984
Michigan,$6190
Minnesota,$7533
Mississippi,$6737
Missouri,$4437
Montana,$7643
Nebraska,$6577
Nevada,$4841
New Hampshire,$5022
New Jersey,$7194
New Mexico,$10553
New York,$8583
North Carolina,$5896
North Dakota,$9061
Ohio,$6323
Oklahoma,$6259
Oregon,$11507
Pennsylvania,$7392
Rhode Island,$10415
South Carolina,$5252
South Dakota,$5468
Tennessee,$5209
Texas,$4668
Utah,$5532
Vermont,$9611
Virginia,$7464
Washington,$7035
West Virginia,$10334
Wisconsin,$8797
Wyoming,$8156